Asset ID,Location,MAC Address,Last Scan Date
001,Chennai,0A:00:27:00:00:09,Tue Oct 21 2025 22:30:13 GMT+0530 (India Standard Time)
123,Mangalore,0A:00:27:00:00:09,Tue Oct 21 2025 22:30:13 GMT+0530 (India Standard Time)
